S.No.,Test Suite/Test Case,Estimated Time (in Days)
1.1.0,Basic Testing,5
1.1.1,AP Capabilities & Power Cycle,1
1.1.2,"Client Capacity with Open, WPA2/WPA3.",0.5
1.1.3,"Single Client Throughput Test on 2.4, 5, and 6 GHz.",1.5
1.1.4,"Single Client Throughput Test on 2.4, 5, and 6 GHz bands with different packet sizes",1
1.1.5,8-Hour Long Duration Stress Test,1
1.2.0,Advanced Testing ,14
1.2.1,Client Connectivity with 802.1x,0.5
1.2.2,Multi/Max Client Throughput ,2
1.2.3,Multi Band Throughput ,1
1.2.4,Bi-Directional ,0.5
1.2.5,Multi Cast Traffic,0.5
1.2.6,Quality of Service ,0.5
1.2.7,FTP/HTTP,0.5
1.2.8,Auto Channel Selection ,1
1.2.9,Air Time Fairness ,0.5
1.2.10,OFDMA ,0.5
1.2.11,MU-MIMO ,0.5
1.2.12,Interference Testing ACI/CCI ,1
1.2.13,Receiver Sensitivity ,1.5
1.2.14,Rate vs Range ,1.5
1.2.15,Rate vs Range vs Orientation ,2
1.2.16,Band Steering ,0.5
1.3.0,More Advance Testing,16
1.3.1,Validating Wi-Fi 7 Feature’s. ,3
1.3.1.1,Multi Link Operation,0.5
1.3.1.2,Preamble Puncturing,0.5
1.3.1.3,"320 MHz, 4K QAM",0.5
1.3.1.4,BSS coloring,0.5
1.3.1.5,MU-OFDMA,1
1.3.2,TR-398 Issue2/3/4,10
1.3.3,Validating Mesh Features and Performance,3
1.3.3.1,"Mesh Functionality – Mesh Discovery, Peering, Path Selection",1
1.3.3.2,Mesh Roaming with different topologies,2
1.3.4.0,Scale Testing - Connecting 500+ clients wirh different load/patterns,3
